strip_id,node_id,vicon_x,vicon_y
1.0,1.0,-11.185,7.575
1.0,2.0,-11.185,6.575
1.0,3.0,-11.185,5.575
1.0,4.0,-11.185,4.575
1.0,5.0,-11.185,3.575
1.0,6.0,-11.185,2.575
1.0,7.0,-11.185,1.575
1.0,8.0,-11.185,0.5750000000000001
1.0,9.0,-11.185,-0.425
1.0,10.0,-11.185,-1.425
1.0,11.0,-11.185,-2.4250000000000003
1.0,12.0,-11.185,-3.4250000000000003
1.0,13.0,-11.185,-4.425
1.0,14.0,-11.185,-5.425
1.0,15.0,-11.185,-6.425
2.0,1.0,-10.185,7.575
2.0,2.0,-10.185,6.575
2.0,3.0,-10.185,5.575
2.0,4.0,-10.185,4.575
2.0,5.0,-10.185,3.575
2.0,6.0,-10.185,2.575
2.0,7.0,-10.185,1.575
2.0,8.0,-10.185,0.5750000000000001
2.0,9.0,-10.185,-0.425
2.0,10.0,-10.185,-1.425
2.0,11.0,-10.185,-2.4250000000000003
2.0,12.0,-10.185,-3.4250000000000003
2.0,13.0,-10.185,-4.425
2.0,14.0,-10.185,-5.425
2.0,15.0,-10.185,-6.425
3.0,1.0,-9.185,7.575
3.0,2.0,-9.185,6.575
3.0,3.0,-9.185,5.575
3.0,4.0,-9.185,4.575
3.0,5.0,-9.185,3.575
3.0,6.0,-9.185,2.575
3.0,7.0,-9.185,1.575
3.0,8.0,-9.185,0.5750000000000001
3.0,9.0,-9.185,-0.425
3.0,10.0,-9.185,-1.425
3.0,11.0,-9.185,-2.4250000000000003
3.0,12.0,-9.185,-3.4250000000000003
3.0,13.0,-9.185,-4.425
3.0,14.0,-9.185,-5.425
3.0,15.0,-9.185,-6.425
4.0,1.0,-8.185,7.575
4.0,2.0,-8.185,6.575
4.0,3.0,-8.185,5.575
4.0,4.0,-8.185,4.575
4.0,5.0,-8.185,3.575
4.0,6.0,-8.185,2.575
4.0,7.0,-8.185,1.575
4.0,8.0,-8.185,0.5750000000000001
4.0,9.0,-8.185,-0.425
4.0,10.0,-8.185,-1.425
4.0,11.0,-8.185,-2.4250000000000003
4.0,12.0,-8.185,-3.4250000000000003
4.0,13.0,-8.185,-4.425
4.0,14.0,-8.185,-5.425
4.0,15.0,-8.185,-6.425
5.0,1.0,-7.1850000000000005,7.575
5.0,2.0,-7.1850000000000005,6.575
5.0,3.0,-7.1850000000000005,5.575
5.0,4.0,-7.1850000000000005,4.575
5.0,5.0,-7.1850000000000005,3.575
5.0,6.0,-7.1850000000000005,2.575
5.0,7.0,-7.1850000000000005,1.575
5.0,8.0,-7.1850000000000005,0.5750000000000001
5.0,9.0,-7.1850000000000005,-0.425
5.0,10.0,-7.1850000000000005,-1.425
5.0,11.0,-7.1850000000000005,-2.4250000000000003
5.0,12.0,-7.1850000000000005,-3.4250000000000003
5.0,13.0,-7.1850000000000005,-4.425
5.0,14.0,-7.1850000000000005,-5.425
5.0,15.0,-7.1850000000000005,-6.425
6.0,1.0,-6.1850000000000005,7.575
6.0,2.0,-6.1850000000000005,6.575
6.0,3.0,-6.1850000000000005,5.575
6.0,4.0,-6.1850000000000005,4.575
6.0,5.0,-6.1850000000000005,3.575
6.0,6.0,-6.1850000000000005,2.575
6.0,7.0,-6.1850000000000005,1.575
6.0,8.0,-6.1850000000000005,0.5750000000000001
6.0,9.0,-6.1850000000000005,-0.425
6.0,10.0,-6.1850000000000005,-1.425
6.0,11.0,-6.1850000000000005,-2.4250000000000003
6.0,12.0,-6.1850000000000005,-3.4250000000000003
6.0,13.0,-6.1850000000000005,-4.425
6.0,14.0,-6.1850000000000005,-5.425
6.0,15.0,-6.1850000000000005,-6.425
7.0,1.0,-5.1850000000000005,7.575
7.0,2.0,-5.1850000000000005,6.575
7.0,3.0,-5.1850000000000005,5.575
7.0,4.0,-5.1850000000000005,4.575
7.0,5.0,-5.1850000000000005,3.575
7.0,6.0,-5.1850000000000005,2.575
7.0,7.0,-5.1850000000000005,1.575
7.0,8.0,-5.1850000000000005,0.5750000000000001
7.0,9.0,-5.1850000000000005,-0.425
7.0,10.0,-5.1850000000000005,-1.425
7.0,11.0,-5.1850000000000005,-2.4250000000000003
7.0,12.0,-5.1850000000000005,-3.4250000000000003
7.0,13.0,-5.1850000000000005,-4.425
7.0,14.0,-5.1850000000000005,-5.425
7.0,15.0,-5.1850000000000005,-6.425
8.0,1.0,-4.1850000000000005,7.575
8.0,2.0,-4.1850000000000005,6.575
8.0,3.0,-4.1850000000000005,5.575
8.0,4.0,-4.1850000000000005,4.575
8.0,5.0,-4.1850000000000005,3.575
8.0,6.0,-4.1850000000000005,2.575
8.0,7.0,-4.1850000000000005,1.575
8.0,8.0,-4.1850000000000005,0.5750000000000001
8.0,9.0,-4.1850000000000005,-0.425
8.0,10.0,-4.1850000000000005,-1.425
8.0,11.0,-4.1850000000000005,-2.4250000000000003
8.0,12.0,-4.1850000000000005,-3.4250000000000003
8.0,13.0,-4.1850000000000005,-4.425
8.0,14.0,-4.1850000000000005,-5.425
8.0,15.0,-4.1850000000000005,-6.425
9.0,1.0,-3.185,7.575
9.0,2.0,-3.185,6.575
9.0,3.0,-3.185,5.575
9.0,4.0,-3.185,4.575
9.0,5.0,-3.185,3.575
9.0,6.0,-3.185,2.575
9.0,7.0,-3.185,1.575
9.0,8.0,-3.185,0.5750000000000001
9.0,9.0,-3.185,-0.425
9.0,10.0,-3.185,-1.425
9.0,11.0,-3.185,-2.4250000000000003
9.0,12.0,-3.185,-3.4250000000000003
9.0,13.0,-3.185,-4.425
9.0,14.0,-3.185,-5.425
9.0,15.0,-3.185,-6.425
10.0,1.0,-2.185,7.575
10.0,2.0,-2.185,6.575
10.0,3.0,-2.185,5.575
10.0,4.0,-2.185,4.575
10.0,5.0,-2.185,3.575
10.0,6.0,-2.185,2.575
10.0,7.0,-2.185,1.575
10.0,8.0,-2.185,0.5750000000000001
10.0,9.0,-2.185,-0.425
10.0,10.0,-2.185,-1.425
10.0,11.0,-2.185,-2.4250000000000003
10.0,12.0,-2.185,-3.4250000000000003
10.0,13.0,-2.185,-4.425
10.0,14.0,-2.185,-5.425
10.0,15.0,-2.185,-6.425
11.0,1.0,-1.185,7.575
11.0,2.0,-1.185,6.575
11.0,3.0,-1.185,5.575
11.0,4.0,-1.185,4.575
11.0,5.0,-1.185,3.575
11.0,6.0,-1.185,2.575
11.0,7.0,-1.185,1.575
11.0,8.0,-1.185,0.5750000000000001
11.0,9.0,-1.185,-0.425
11.0,10.0,-1.185,-1.425
11.0,11.0,-1.185,-2.4250000000000003
11.0,12.0,-1.185,-3.4250000000000003
11.0,13.0,-1.185,-4.425
11.0,14.0,-1.185,-5.425
11.0,15.0,-1.185,-6.425
12.0,1.0,-0.185,7.575
12.0,2.0,-0.185,6.575
12.0,3.0,-0.185,5.575
12.0,4.0,-0.185,4.575
12.0,5.0,-0.185,3.575
12.0,6.0,-0.185,2.575
12.0,7.0,-0.185,1.575
12.0,8.0,-0.185,0.5750000000000001
12.0,9.0,-0.185,-0.425
12.0,10.0,-0.185,-1.425
12.0,11.0,-0.185,-2.4250000000000003
12.0,12.0,-0.185,-3.4250000000000003
12.0,13.0,-0.185,-4.425
12.0,14.0,-0.185,-5.425
12.0,15.0,-0.185,-6.425
13.0,1.0,0.8150000000000001,7.575
13.0,2.0,0.8150000000000001,6.575
13.0,3.0,0.8150000000000001,5.575
13.0,4.0,0.8150000000000001,4.575
13.0,5.0,0.8150000000000001,3.575
13.0,6.0,0.8150000000000001,2.575
13.0,7.0,0.8150000000000001,1.575
13.0,8.0,0.8150000000000001,0.5750000000000001
13.0,9.0,0.8150000000000001,-0.425
13.0,10.0,0.8150000000000001,-1.425
13.0,11.0,0.8150000000000001,-2.4250000000000003
13.0,12.0,0.8150000000000001,-3.4250000000000003
13.0,13.0,0.8150000000000001,-4.425
13.0,14.0,0.8150000000000001,-5.425
13.0,15.0,0.8150000000000001,-6.425
14.0,1.0,1.815,7.575
14.0,2.0,1.815,6.575
14.0,3.0,1.815,5.575
14.0,4.0,1.815,4.575
14.0,5.0,1.815,3.575
14.0,6.0,1.815,2.575
14.0,7.0,1.815,1.575
14.0,8.0,1.815,0.5750000000000001
14.0,9.0,1.815,-0.425
14.0,10.0,1.815,-1.425
14.0,11.0,1.815,-2.4250000000000003
14.0,12.0,1.815,-3.4250000000000003
14.0,13.0,1.815,-4.425
14.0,14.0,1.815,-5.425
14.0,15.0,1.815,-6.425
15.0,1.0,2.815,7.575
15.0,2.0,2.815,6.575
15.0,3.0,2.815,5.575
15.0,4.0,2.815,4.575
15.0,5.0,2.815,3.575
15.0,6.0,2.815,2.575
15.0,7.0,2.815,1.575
15.0,8.0,2.815,0.5750000000000001
15.0,9.0,2.815,-0.425
15.0,10.0,2.815,-1.425
15.0,11.0,2.815,-2.4250000000000003
15.0,12.0,2.815,-3.4250000000000003
15.0,13.0,2.815,-4.425
15.0,14.0,2.815,-5.425
15.0,15.0,2.815,-6.425
16.0,1.0,3.815,7.575
16.0,2.0,3.815,6.575
16.0,3.0,3.815,5.575
16.0,4.0,3.815,4.575
16.0,5.0,3.815,3.575
16.0,6.0,3.815,2.575
16.0,7.0,3.815,1.575
16.0,8.0,3.815,0.5750000000000001
16.0,9.0,3.815,-0.425
16.0,10.0,3.815,-1.425
16.0,11.0,3.815,-2.4250000000000003
16.0,12.0,3.815,-3.4250000000000003
16.0,13.0,3.815,-4.425
16.0,14.0,3.815,-5.425
16.0,15.0,3.815,-6.425
17.0,1.0,4.815,7.575
17.0,2.0,4.815,6.575
17.0,3.0,4.815,5.575
17.0,4.0,4.815,4.575
17.0,5.0,4.815,3.575
17.0,6.0,4.815,2.575
17.0,7.0,4.815,1.575
17.0,8.0,4.815,0.5750000000000001
17.0,9.0,4.815,-0.425
17.0,10.0,4.815,-1.425
17.0,11.0,4.815,-2.4250000000000003
17.0,12.0,4.815,-3.4250000000000003
17.0,13.0,4.815,-4.425
17.0,14.0,4.815,-5.425
17.0,15.0,4.815,-6.425
18.0,1.0,5.815,7.575
18.0,2.0,5.815,6.575
